house_type,total_floor_area,owner_last_education,number_of_cars,living_together,number_of_children,owner_age,household_income,environmental_awareness,occupation_Civil_Servant,occupation_Employee,occupation_Other
all_elect,3.0,4.0,2.0,3.0,4.0,7.0,2.0,7.0,1.0,1.0,1.0
all_elect,8.0,4.0,1.0,1.0,1.0,6.0,6.0,8.0,1.0,1.0,0.0
all_elect,6.0,3.0,1.0,5.0,3.0,7.0,1.0,10.0,0.0,0.0,1.0
gas_elect,2.0,2.0,2.0,1.0,0.0,6.0,5.0,4.0,0.0,1.0,0.0
all_elect,2.0,4.0,3.0,8.0,2.0,5.0,1.0,9.0,0.0,1.0,1.0
gas_elect,2.0,4.0,3.0,6.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0
gas_elect,1.0,1.0,2.0,5.0,2.0,4.0,2.0,8.0,1.0,0.0,0.0
all_elect,6.0,1.0,4.0,7.0,1.0,7.0,4.0,6.0,1.0,0.0,1.0
all_elect,7.0,2.0,4.0,2.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0
gas_elect,6.0,1.0,4.0,4.0,2.0,7.0,2.0,9.0,1.0,0.0,0.0
all_elect,5.0,2.0,4.0,1.0,1.0,4.0,3.0,10.0,0.0,1.0,0.0
gas_elect,5.0,2.0,2.0,6.0,2.0,6.0,4.0,9.0,0.0,1.0,0.0
gas_elect,3.0,3.0,4.0,3.0,4.0,5.0,3.0,6.0,1.0,0.0,0.0
gas_elect,3.0,3.0,4.0,8.0,0.0,3.0,2.0,9.0,0.0,1.0,1.0
all_elect,4.0,4.0,1.0,1.0,4.0,4.0,1.0,9.0,0.0,0.0,0.0
gas_elect,2.0,3.0,4.0,2.0,0.0,7.0,6.0,7.0,1.0,0.0,0.0
all_elect,5.0,1.0,2.0,3.0,3.0,7.0,3.0,8.0,1.0,1.0,0.0
gas_elect,1.0,1.0,3.0,3.0,0.0,5.0,2.0,8.0,1.0,1.0,1.0
all_elect,1.0,3.0,4.0,6.0,2.0,6.0,2.0,3.0,1.0,1.0,0.0
gas_elect,7.0,1.0,2.0,8.0,2.0,8.0,5.0,5.0,1.0,1.0,0.0
gas_elect,4.0,3.0,4.0,3.0,4.0,7.0,6.0,2.0,1.0,1.0,0.0
gas_elect,3.0,4.0,1.0,7.0,2.0,6.0,2.0,9.0,1.0,1.0,1.0
gas_elect,5.0,4.0,3.0,6.0,2.0,5.0,3.0,10.0,1.0,0.0,1.0
gas_elect,2.0,2.0,3.0,4.0,1.0,7.0,5.0,4.0,0.0,0.0,1.0
gas_elect,4.0,3.0,1.0,6.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0
gas_elect,2.0,1.0,3.0,2.0,2.0,8.0,5.0,5.0,1.0,0.0,1.0
all_elect,2.0,2.0,3.0,3.0,4.0,3.0,1.0,6.0,0.0,0.0,1.0
all_elect,3.0,1.0,3.0,6.0,2.0,6.0,6.0,9.0,0.0,0.0,1.0
all_elect,6.0,4.0,2.0,3.0,3.0,6.0,5.0,8.0,0.0,1.0,1.0
gas_elect,6.0,1.0,1.0,8.0,1.0,4.0,6.0,3.0,1.0,1.0,0.0
gas_elect,5.0,3.0,2.0,6.0,2.0,5.0,4.0,10.0,0.0,1.0,0.0
all_elect,6.0,2.0,1.0,8.0,4.0,3.0,3.0,10.0,1.0,0.0,1.0
all_elect,7.0,4.0,3.0,6.0,2.0,8.0,5.0,2.0,0.0,0.0,1.0
all_elect,1.0,4.0,4.0,5.0,3.0,5.0,5.0,8.0,1.0,0.0,0.0
all_elect,4.0,3.0,2.0,2.0,4.0,7.0,2.0,2.0,1.0,0.0,1.0
all_elect,1.0,4.0,1.0,7.0,1.0,4.0,5.0,9.0,0.0,0.0,0.0
all_elect,5.0,1.0,1.0,7.0,2.0,5.0,4.0,6.0,1.0,1.0,1.0
all_elect,3.0,3.0,1.0,2.0,0.0,6.0,6.0,8.0,1.0,0.0,1.0
gas_elect,4.0,1.0,1.0,8.0,3.0,3.0,5.0,3.0,1.0,1.0,0.0
all_elect,6.0,2.0,3.0,6.0,2.0,7.0,5.0,4.0,1.0,0.0,1.0
gas_elect,2.0,4.0,3.0,1.0,1.0,5.0,2.0,8.0,1.0,0.0,0.0
gas_elect,2.0,4.0,3.0,2.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0
gas_elect,5.0,4.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,1.0,0.0
all_elect,5.0,1.0,3.0,2.0,0.0,6.0,5.0,2.0,0.0,0.0,1.0
gas_elect,1.0,4.0,1.0,7.0,4.0,4.0,4.0,7.0,0.0,1.0,1.0
gas_elect,3.0,1.0,2.0,3.0,4.0,8.0,1.0,3.0,0.0,1.0,0.0
gas_elect,2.0,4.0,1.0,7.0,2.0,7.0,2.0,8.0,1.0,1.0,1.0
gas_elect,7.0,1.0,1.0,2.0,0.0,5.0,6.0,10.0,1.0,0.0,0.0
all_elect,8.0,1.0,3.0,1.0,2.0,5.0,6.0,4.0,1.0,0.0,1.0
all_elect,4.0,3.0,2.0,4.0,1.0,5.0,3.0,8.0,0.0,1.0,1.0
gas_elect,7.0,3.0,4.0,8.0,2.0,6.0,5.0,8.0,1.0,1.0,0.0
all_elect,1.0,4.0,3.0,1.0,3.0,7.0,6.0,3.0,1.0,1.0,0.0
all_elect,2.0,1.0,2.0,8.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0
all_elect,8.0,3.0,3.0,6.0,2.0,8.0,5.0,8.0,0.0,0.0,1.0
all_elect,1.0,3.0,2.0,7.0,0.0,7.0,2.0,7.0,1.0,1.0,0.0
all_elect,8.0,2.0,4.0,1.0,0.0,7.0,6.0,6.0,0.0,0.0,0.0
all_elect,6.0,4.0,3.0,1.0,1.0,7.0,2.0,7.0,0.0,1.0,0.0
gas_elect,3.0,4.0,2.0,3.0,4.0,7.0,5.0,10.0,0.0,1.0,1.0
gas_elect,3.0,2.0,4.0,8.0,3.0,5.0,3.0,6.0,1.0,0.0,0.0
all_elect,5.0,3.0,4.0,4.0,3.0,6.0,1.0,8.0,1.0,1.0,1.0
all_elect,7.0,1.0,2.0,2.0,1.0,5.0,5.0,2.0,0.0,0.0,1.0
all_elect,4.0,1.0,4.0,4.0,2.0,7.0,1.0,7.0,1.0,1.0,0.0
all_elect,3.0,2.0,2.0,6.0,3.0,7.0,5.0,8.0,0.0,1.0,0.0
gas_elect,3.0,3.0,4.0,4.0,2.0,6.0,2.0,9.0,1.0,0.0,0.0
gas_elect,3.0,3.0,2.0,3.0,4.0,3.0,2.0,7.0,1.0,0.0,0.0
gas_elect,1.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,0.0
gas_elect,6.0,2.0,4.0,6.0,3.0,6.0,5.0,6.0,1.0,1.0,1.0
gas_elect,3.0,2.0,3.0,2.0,2.0,8.0,6.0,2.0,1.0,0.0,0.0
gas_elect,8.0,3.0,3.0,4.0,1.0,5.0,2.0,8.0,0.0,1.0,0.0
all_elect,1.0,1.0,4.0,4.0,3.0,3.0,2.0,6.0,0.0,1.0,1.0
all_elect,5.0,3.0,4.0,3.0,0.0,4.0,1.0,6.0,0.0,1.0,1.0
gas_elect,6.0,4.0,2.0,3.0,4.0,6.0,4.0,2.0,0.0,0.0,1.0
all_elect,2.0,2.0,3.0,4.0,3.0,3.0,5.0,7.0,1.0,0.0,1.0
gas_elect,6.0,3.0,1.0,6.0,0.0,7.0,4.0,7.0,0.0,1.0,0.0
all_elect,1.0,4.0,4.0,3.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0
gas_elect,3.0,2.0,1.0,4.0,2.0,7.0,3.0,2.0,0.0,1.0,1.0
gas_elect,4.0,2.0,1.0,8.0,1.0,6.0,3.0,7.0,0.0,0.0,0.0
gas_elect,7.0,2.0,3.0,4.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0
gas_elect,7.0,4.0,3.0,4.0,4.0,3.0,3.0,7.0,1.0,0.0,0.0
all_elect,1.0,4.0,1.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0
gas_elect,7.0,3.0,1.0,2.0,2.0,6.0,2.0,8.0,0.0,1.0,0.0
gas_elect,5.0,4.0,1.0,6.0,1.0,7.0,6.0,2.0,0.0,1.0,0.0
gas_elect,8.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,0.0,1.0,0.0
all_elect,4.0,1.0,4.0,5.0,0.0,3.0,6.0,5.0,0.0,1.0,1.0
gas_elect,4.0,1.0,1.0,1.0,3.0,6.0,6.0,9.0,1.0,0.0,0.0
gas_elect,8.0,4.0,3.0,2.0,1.0,6.0,4.0,8.0,0.0,0.0,1.0
all_elect,4.0,4.0,1.0,1.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0
