house_type,total_floor_area,owner_last_education,number_of_cars,living_together,number_of_children,owner_age,household_income,environmental_awareness,occupation_Civil_Servant,occupation_Employee,occupation_Other
all_elect,8.0,3,3,6,2.0,8,5.0,8,0,0,1
all_elect,1.0,3,2,7,0.0,7,2.0,7,1,1,0
all_elect,8.0,2,4,1,0.0,7,6.0,6,0,0,0
all_elect,6.0,4,3,1,1.0,7,2.0,7,0,1,0
gas_elect,3.0,4,2,3,4.0,7,5.0,10,0,1,1
gas_elect,3.0,2,4,8,3.0,5,3.0,6,1,0,0
all_elect,5.0,3,4,4,3.0,6,1.0,8,1,1,1
all_elect,7.0,1,2,2,1.0,5,5.0,2,0,0,1
all_elect,4.0,1,4,4,2.0,7,1.0,7,1,1,0
all_elect,3.0,2,2,6,3.0,7,5.0,8,0,1,0
gas_elect,3.0,3,4,4,2.0,6,2.0,9,1,0,0
gas_elect,3.0,3,2,3,4.0,3,2.0,7,1,0,0
gas_elect,1.0,3,3,3,4.0,5,1.0,2,1,1,0
gas_elect,6.0,2,4,6,3.0,6,5.0,6,1,1,1
gas_elect,3.0,2,3,2,2.0,8,6.0,2,1,0,0
gas_elect,8.0,3,3,4,1.0,,2.0,8,0,1,0
all_elect,1.0,1,4,4,3.0,3,2.0,6,0,1,1
all_elect,5.0,3,4,3,0.0,4,1.0,6,0,1,1
gas_elect,6.0,4,2,3,4.0,6,4.0,2,0,0,1
all_elect,2.0,2,3,4,3.0,3,5.0,7,1,0,1
gas_elect,6.0,3,1,6,0.0,7,4.0,7,0,1,0
all_elect,1.0,4,4,3,2.0,6,4.0,3,1,0,0
gas_elect,3.0,2,1,4,2.0,7,3.0,2,0,1,1
gas_elect,4.0,2,1,8,1.0,6,3.0,7,0,0,0
gas_elect,7.0,2,3,4,1.0,3,2.0,7,0,0,0
gas_elect,7.0,4,3,4,4.0,3,3.0,7,1,0,0
all_elect,1.0,4,1,7,3.0,3,3.0,2,1,1,0
gas_elect,7.0,3,1,2,2.0,,2.0,8,0,1,0
gas_elect,5.0,4,1,6,1.0,7,6.0,2,0,1,0
gas_elect,8.0,4,3,4,1.0,,4.0,3,0,1,0
all_elect,4.0,1,4,5,0.0,3,6.0,5,0,1,1
gas_elect,4.0,1,1,1,3.0,6,6.0,9,1,0,0
gas_elect,8.0,4,3,2,1.0,6,4.0,8,0,0,1
all_elect,4.0,4,1,1,3.0,5,3.0,2,0,1,1
